id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,years_since_renovation,renovated,price_per_sqft,total_rooms,basement_flag,bed_bath_ratio,grade_category,condition_label,size_category
2747317213,20140720T000000,784638,4,3.5,3267,50358,1.0,1,0,4,8,2752,515,1917,0,98047,47.165757,-122.187215,3429,45281,98,98,0,240.17,7,1,1.14,Good,Good,Large
7575149614,20140622T000000,736244,3,1.0,3737,45111,1.5,0,0,4,9,2663,1074,2008,0,98092,47.214392,-122.060288,3197,37500,7,7,0,197.01,4,1,3.0,Good,Good,Large
5928597015,20141010T000000,225713,4,2.75,681,16612,2.0,0,0,3,9,516,165,1947,0,98032,47.435648,-121.510726,611,20207,68,68,0,331.44,6,1,1.45,Good,Average,Small
6018956955,20150109T000000,618421,3,2.25,2619,12512,2.5,0,0,3,8,2075,544,2012,0,98188,47.191699,-121.415105,3040,12421,3,3,0,236.13,5,1,1.33,Good,Average,Large
471939445,20140719T000000,438223,3,5.0,2222,64995,2.0,0,0,5,7,2097,125,1976,0,98115,47.545291,-121.561584,1988,66637,39,39,0,197.22,8,1,0.6,Average,Excellent,Large
9284782421,20141231T000000,290939,1,3.5,1882,86317,2.5,0,0,4,6,1837,45,1976,0,98001,47.750705,-121.403855,1500,87930,39,39,0,154.59,4,1,0.29,Average,Good,Medium
5005182187,20150120T000000,278445,4,2.75,1505,78755,1.0,0,0,4,3,841,664,1969,0,98045,47.482434,-121.786021,1587,83858,46,46,0,185.01,6,1,1.45,Low,Good,Medium
5318189421,20140921T000000,560352,4,2.25,2300,21130,2.0,0,0,3,7,1681,619,1992,0,98028,47.571456,-122.260773,2154,25097,23,23,0,243.63,6,1,1.78,Average,Average,Large
1987972437,20140531T000000,632039,9,3.0,2289,14420,3.0,0,0,5,11,2066,223,1912,0,98177,47.700926,-122.428784,2289,14280,103,103,0,276.12,12,1,3.0,Luxury,Excellent,Large
2329710672,20140912T000000,797465,5,1.5,2891,66504,3.0,0,0,3,9,2748,143,1961,0,98199,47.621225,-122.45083,2559,70995,54,54,0,275.84,6,1,3.33,Good,Average,Large
9468221176,20150401T000000,472268,3,2.0,2131,36828,2.0,0,0,3,10,1426,705,1916,0,98107,47.601201,-122.23119,2692,44060,99,99,0,221.62,5,1,1.5,Good,Average,Large
2272782991,20140920T000000,226513,2,1.5,906,24799,2.0,0,0,4,10,756,150,2012,0,98023,47.570754,-121.848931,811,25290,3,3,0,250.01,3,1,1.33,Good,Good,Small
190351213,20141126T000000,954507,4,2.25,3633,71455,1.0,0,0,5,10,2502,1131,1920,0,98055,47.360141,-122.361708,4521,82763,95,95,0,262.73,6,1,1.78,Good,Excellent,Large
3219981849,20141223T000000,832632,6,1.0,3318,33162,2.0,0,0,5,6,3035,283,2002,0,98032,47.733231,-122.233548,2975,38279,13,13,0,250.94,7,1,6.0,Average,Excellent,Large
5797738787,20141211T000000,299031,3,2.0,1688,3312,1.0,0,0,5,8,949,739,1903,0,98047,47.666938,-121.465699,2080,3038,112,112,0,177.15,5,1,1.5,Good,Excellent,Medium
2197545325,20141112T000000,444487,1,3.5,2042,10607,2.0,0,0,3,8,1399,643,1905,0,98053,47.392673,-121.822328,1878,10434,110,110,0,217.67,4,1,0.29,Good,Average,Large
3878520294,20140811T000000,288214,3,3.0,787,42361,2.0,0,2,4,9,693,94,2006,2013,98177,47.537774,-122.155851,875,39298,9,2,1,366.22,6,1,1.0,Good,Good,Small
633880459,20140527T000000,436677,4,2.0,2121,53106,2.0,0,0,3,8,1883,238,1958,0,98011,47.179115,-121.329437,2489,45031,57,57,0,205.88,6,1,2.0,Good,Average,Large
2395039673,20150123T000000,398608,4,2.5,1435,35726,1.0,0,0,5,7,1064,371,2002,0,98029,47.728006,-122.373156,1791,35749,13,13,0,277.78,6,1,1.6,Average,Excellent,Medium
5323520473,20141029T000000,344201,6,1.5,2810,63666,1.0,0,0,5,4,2037,773,1934,0,98051,47.42712,-121.656611,3297,78037,81,81,0,122.49,7,1,4.0,Low,Excellent,Large
